"B_Total_Grappling_Reversals_Landed","R_Total_Grappling_Reversals_Landed","B_Total_Grappling_Standups_Landed","R_Total_Grappling_Standups_Landed","B_Total_Grappling_Submissions_Attempts","R_Total_Grappling_Submissions_Attempts","B_Total_Grappling_Takedowns_Attempts","R_Total_Grappling_Takedowns_Attempts","B_Total_Grappling_Takedowns_Landed","R_Total_Grappling_Takedowns_Landed","B_Total_Strikes_Body Significant Strikes_Attempts","R_Total_Strikes_Body Significant Strikes_Attempts","B_Total_Strikes_Body Significant Strikes_Landed","R_Total_Strikes_Body Significant Strikes_Landed","B_Total_Strikes_Body Total Strikes_Attempts","R_Total_Strikes_Body Total Strikes_Attempts","B_Total_Strikes_Body Total Strikes_Landed","R_Total_Strikes_Body Total Strikes_Landed","B_Total_Strikes_Clinch Total Strikes_Attempts","R_Total_Strikes_Clinch Total Strikes_Attempts","B_Total_Strikes_Clinch Total Strikes_Landed","R_Total_Strikes_Clinch Total Strikes_Landed","B_Total_Strikes_Distance Strikes_Attempts","R_Total_Strikes_Distance Strikes_Attempts","B_Total_Strikes_Distance Strikes_Landed","R_Total_Strikes_Distance Strikes_Landed","B_Total_Strikes_Ground Total Strikes_Attempts","R_Total_Strikes_Ground Total Strikes_Attempts","B_Total_Strikes_Ground Total Strikes_Landed","R_Total_Strikes_Ground Total Strikes_Landed","B_Total_Strikes_Head Total Strikes_Attempts","R_Total_Strikes_Head Total Strikes_Attempts","B_Total_Strikes_Head Total Strikes_Landed","R_Total_Strikes_Head Total Strikes_Landed","B_Total_Strikes_Kicks_Attempts","R_Total_Strikes_Kicks_Attempts","B_Total_Strikes_Kicks_Landed","R_Total_Strikes_Kicks_Landed","B_Total_Strikes_Knock Down_Landed","R_Total_Strikes_Knock Down_Landed","B_Total_Strikes_Legs Total Strikes_Attempts","R_Total_Strikes_Legs Total Strikes_Attempts","B_Total_Strikes_Legs Total Strikes_Landed","R_Total_Strikes_Legs Total Strikes_Landed","B_Total_Strikes_Punches_Attempts","R_Total_Strikes_Punches_Attempts","B_Total_Strikes_Punches_Landed","R_Total_Strikes_Punches_Landed","B_Total_Strikes_Total Strikes_Attempts","R_Total_Strikes_Total Strikes_Attempts","B_Total_Strikes_Total Strikes_Landed","R_Total_Strikes_Total Strikes_Landed","B_Total_TIP_Back Control Time","R_Total_TIP_Back Control Time","B_Total_TIP_Clinch Time","R_Total_TIP_Clinch Time","B_Total_TIP_Control Time","R_Total_TIP_Control Time","B_Total_TIP_Distance Time","R_Total_TIP_Distance Time","B_Total_TIP_Ground Control Time","R_Total_TIP_Ground Control Time","B_Total_TIP_Ground Time","R_Total_TIP_Ground Time","B_Total_TIP_Guard Control Time","R_Total_TIP_Guard Control Time","B_Total_TIP_Half Guard Control Time","R_Total_TIP_Half Guard Control Time","B_Total_TIP_Misc. Ground Control Time","R_Total_TIP_Misc. Ground Control Time","B_Total_TIP_Mount Control Time","R_Total_TIP_Mount Control Time","B_Total_TIP_Neutral Time","R_Total_TIP_Neutral Time","B_Total_TIP_Side Control Time","R_Total_TIP_Side Control Time","B_Total_TIP_Standing Time","R_Total_TIP_Standing Time","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_ID","R_ID","B_Weight","R_Weight","B_Location","R_Location","Max_round","winner"
"0","1","1","2","1","4","1","39","1","19","0","46","0","34","11","65","11","52","1","32","1","27","4","227","2","81","63","210","47","162","57","385","39","201","0","0","0","0","0","0","0","19","0","17","0","0","0","0","68","469","50","270","0","600","27","704","207","1978","38","1206","196","1567","205","2457","183","71","0","304","0","0","13","562","43","1330","0","30","65","1910","1","6","1","1","23","27","182","187","2783","2246","84","84","Mezzocorona Italy","Coconut Creek, Florida United States","3","red"
"0","0","0","0","0","0","2","2","0","0","7","9","5","6","11","13","8","9","10","12","8","9","50","55","18","20","16","18","13","14","59","65","26","28","4","4","2","3","0","0","5","6","4","5","20","21","10","10","77","86","40","44","7","9","70","83","97","112","274","294","69","77","133","146","17","20","12","14","6","6","20","20","283","308","4","6","324","376","0","0","0","0","32","29","175","182","2208","2039","70","70","Pharr, Texas USA","Fort Hood, TX USA","3","blue"
"1","0","1","2","0","0","0","8","0","2","38","5","24","4","41","17","27","16","14","14","12","13","235","112","110","42","12","26","9","19","208","133","94","56","15","3","12","2","0","0","12","2","10","2","242","50","118","32","261","152","131","74","39","86","220","172","233","166","639","618","104","105","137","162","40","0","11","0","14","19","0","0","685","676","0","0","859","790","2","2","0","0","38","32","172","177","721","524","70","70","Tokyo Japan","Bridgewater, Massachusetts USA","3","red"
"0","5","0","13","0","15","0","31","0","11","0","89","0","70","0","128","0","108","0","101","0","79","0","436","0","163","0","327","0","244","0","699","0","342","0","0","0","0","0","1","0","34","0","33","0","0","0","0","0","864","0","486","0","258","0","638","0","2005","0","1431","0","1644","0","2437","0","311","0","379","0","0","0","544","0","1601","0","152","0","2069","0","6","0","4","23","25","170","175","2825","2166","56","56","Tijuana Mexico","Kapolei, HI USA","3","blue"
"0","0","2","6","1","4","7","16","2","5","26","74","12","56","35","90","21","72","25","173","10","132","363","363","109","137","107","42","84","35","448","439","171","189","0","44","0","42","0","0","12","36","11","30","0","149","0","58","495","578","203","304","92","12","274","1151","840","440","535","1951","780","146","1032","492","197","58","107","12","0","24","228","40","601","2260","156","0","809","3102","3","5","1","2","30","28","167","170","2260","2150","61","61","Spokane, WA USA","Colorado Spring, Colorado United States","3","red"
"0","0","0","2","0","0","0","32","0","6","0","48","0","27","0","61","0","38","0","129","0","98","0","317","0","73","0","63","0","37","0","379","0","126","0","0","0","0","0","0","0","69","0","44","0","0","0","0","0","509","0","208","0","158","0","1090","0","1204","0","1680","0","438","0","456","0","10","0","50","0","0","0","152","0","1842","0","68","0","2770","0","4","0","0","38","30","180","180","1918","2036","70","70","Stockholm Sweden","Bushmills Northern Ireland","3","red"
"1","0","2","3","0","1","8","16","2","1","23","49","13","30","25","50","15","31","18","30","12","20","98","399","49","168","44","21","37","13","100","351","52","135","0","33","0","19","0","0","35","49","31","35","0","139","0","61","160","450","98","201","54","8","332","321","288","206","366","1384","242","51","498","179","19","0","0","0","0","36","169","7","433","1463","0","0","698","1705","2","4","1","1","30","30","182","187","2507","1096","70","70","Kelowna, BC Canada","Lee's Summit, Missouri USA","3","red"
"0","0","0","3","0","0","0","7","0","3","0","2","0","2","0","2","0","2","0","23","0","12","0","16","0","5","0","135","0","114","0","171","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","0","131","0","77","0","125","0","468","0","122","0","401","0","655","0","0","0","120","0","0","0","204","0","126","0","0","0","247","0","1","0","0","27","30","177","180","2262","2044","70","70","Jefferson, Iowa USA","Tokyo Japan","3","blue"
"0","0","3","1","1","1","0","0","0","0","8","21","3","12","8","21","3","12","16","25","8","17","57","272","15","88","4","17","3","11","66","270","21","87","0","29","0","21","0","1","0","15","0","11","0","111","0","49","77","314","26","116","0","0","20","151","26","17","591","1357","26","7","311","173","2","0","0","0","0","3","24","4","605","1371","0","0","611","1508","1","3","0","0","34","31","177","177","1817","1982","70","70","Bellefontaine, Ohio USA","Bridgewater, Massachusetts USA","3","red"
"0","0","0","1","0","0","4","9","1","5","47","60","31","43","49","107","33","88","52","196","42","161","196","260","65","114","54","137","41","120","231","393","98","224","0","0","0","0","1","2","17","93","13","83","0","0","0","0","302","593","148","395","0","51","175","503","149","636","1121","820","145","388","493","661","145","0","0","17","0","0","0","308","1159","855","0","12","1296","1323","2","4","1","1","33","28","182","182","2080","2228","77","77","São Paulo Brazil","North Shore , Sydney Australia","3","blue"
