CMDLINE /usr/local/opt/python@2/bin/python2.7 test_bench.py
MEM 0.199219 1543727228.8533
MEM 10.085938 1543727228.9549
MEM 20.437500 1543727229.0553
MEM 29.796875 1543727229.1563
MEM 34.062500 1543727229.2609
MEM 44.039062 1543727229.3661
MEM 53.207031 1543727229.4699
MEM 56.375000 1543727229.5716
MEM 61.199219 1543727229.6732
MEM 61.394531 1543727229.7769
MEM 61.617188 1543727229.8774
MEM 61.656250 1543727229.9806
MEM 61.656250 1543727230.0809
MEM 61.777344 1543727230.1861
MEM 61.777344 1543727230.2906
MEM 62.023438 1543727230.3910
MEM 62.039062 1543727230.4960
MEM 62.152344 1543727230.5986
MEM 62.152344 1543727230.6990
MEM 62.152344 1543727230.8028
MEM 62.152344 1543727230.9065
MEM 62.156250 1543727231.0110
MEM 62.156250 1543727231.1162
MEM 62.160156 1543727231.2201
MEM 62.160156 1543727231.3231
MEM 62.164062 1543727231.4245
MEM 62.164062 1543727231.5265
MEM 62.164062 1543727231.6281
MEM 62.164062 1543727231.7331
MEM 62.167969 1543727231.8333
