CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 0.164062 1543728475.2807
MEM 10.679688 1543728475.3839
MEM 17.503906 1543728475.4843
MEM 23.355469 1543728475.5877
MEM 28.890625 1543728475.6880
MEM 42.082031 1543728475.7894
MEM 47.003906 1543728475.8927
MEM 50.367188 1543728475.9931
MEM 53.261719 1543728476.0934
MEM 56.097656 1543728476.1937
MEM 57.730469 1543728476.2957
MEM 61.476562 1543728476.3962
MEM 64.855469 1543728476.4970
MEM 68.097656 1543728476.6022
MEM 72.511719 1543728476.7047
MEM 77.464844 1543728476.8097
MEM 83.761719 1543728476.9103
MEM 83.769531 1543728477.0134
MEM 83.781250 1543728477.1136
MEM 83.781250 1543728477.2179
MEM 83.781250 1543728477.3187
MEM 83.785156 1543728477.4232
MEM 83.785156 1543728477.5271
MEM 83.785156 1543728477.6323
MEM 83.785156 1543728477.7353
MEM 83.785156 1543728477.8379
MEM 83.785156 1543728477.9400
MEM 83.789062 1543728478.0439
MEM 83.789062 1543728478.1476
MEM 83.789062 1543728478.2518
MEM 83.789062 1543728478.3553
MEM 83.816406 1543728478.4598
MEM 83.816406 1543728478.5606
MEM 83.816406 1543728478.6658
MEM 83.816406 1543728478.7684
MEM 83.816406 1543728478.8707
MEM 83.816406 1543728478.9749
MEM 83.816406 1543728479.0773
MEM 83.816406 1543728479.1776
MEM 83.816406 1543728479.2791
MEM 83.828125 1543728479.3823
MEM 83.832031 1543728479.4863
MEM 83.832031 1543728479.5874
MEM 83.832031 1543728479.6876
MEM 83.835938 1543728479.7887
MEM 83.835938 1543728479.8931
MEM 83.835938 1543728479.9934
MEM 83.835938 1543728480.0979
MEM 83.835938 1543728480.1984
MEM 83.835938 1543728480.2989
MEM 83.835938 1543728480.4012
MEM 83.835938 1543728480.5039
MEM 83.835938 1543728480.6042
MEM 83.835938 1543728480.7046
MEM 83.835938 1543728480.8053
MEM 83.835938 1543728480.9055
MEM 83.835938 1543728481.0061
MEM 83.835938 1543728481.1077
MEM 83.835938 1543728481.2089
MEM 83.835938 1543728481.3110
MEM 83.835938 1543728481.4127
MEM 83.835938 1543728481.5162
MEM 83.835938 1543728481.6182
MEM 83.835938 1543728481.7217
MEM 83.839844 1543728481.8264
MEM 83.839844 1543728481.9273
MEM 83.839844 1543728482.0324
MEM 83.839844 1543728482.1349
MEM 83.839844 1543728482.2378
MEM 83.839844 1543728482.3408
MEM 83.839844 1543728482.4427
MEM 83.839844 1543728482.5460
MEM 83.839844 1543728482.6469
MEM 83.839844 1543728482.7515
MEM 83.839844 1543728482.8548
MEM 83.839844 1543728482.9598
MEM 83.839844 1543728483.0644
MEM 83.839844 1543728483.1684
MEM 83.839844 1543728483.2701
MEM 83.839844 1543728483.3715
MEM 83.839844 1543728483.4722
MEM 83.839844 1543728483.5725
MEM 83.839844 1543728483.6728
MEM 83.839844 1543728483.7769
MEM 83.839844 1543728483.8776
MEM 83.839844 1543728483.9780
MEM 83.839844 1543728484.0803
MEM 83.839844 1543728484.1845
MEM 83.839844 1543728484.2852
MEM 83.839844 1543728484.3903
MEM 83.839844 1543728484.4907
MEM 83.839844 1543728484.5917
MEM 83.839844 1543728484.6936
MEM 83.839844 1543728484.7942
MEM 83.839844 1543728484.8945
MEM 83.839844 1543728484.9948
MEM 83.839844 1543728485.1000
MEM 83.839844 1543728485.2050
MEM 83.839844 1543728485.3062
MEM 83.839844 1543728485.4072
MEM 83.839844 1543728485.5085
MEM 83.839844 1543728485.6099
MEM 83.839844 1543728485.7104
MEM 83.839844 1543728485.8124
MEM 83.839844 1543728485.9163
MEM 83.839844 1543728486.0172
MEM 83.839844 1543728486.1179
MEM 83.839844 1543728486.2183
MEM 83.839844 1543728486.3206
MEM 83.839844 1543728486.4217
MEM 83.839844 1543728486.5269
MEM 83.839844 1543728486.6311
MEM 83.839844 1543728486.7318
MEM 83.839844 1543728486.8345
MEM 83.839844 1543728486.9376
MEM 83.839844 1543728487.0428
MEM 83.839844 1543728487.1437
MEM 83.839844 1543728487.2449
MEM 83.839844 1543728487.3470
MEM 83.839844 1543728487.4512
MEM 83.843750 1543728487.5563
MEM 83.843750 1543728487.6583
MEM 83.843750 1543728487.7634
MEM 83.843750 1543728487.8677
MEM 83.843750 1543728487.9680
MEM 83.847656 1543728488.0730
MEM 83.847656 1543728488.1747
MEM 83.847656 1543728488.2778
MEM 83.851562 1543728488.3822
MEM 83.851562 1543728488.4851
MEM 83.855469 1543728488.5903
MEM 83.855469 1543728488.6929
MEM 83.855469 1543728488.7950
MEM 83.859375 1543728488.8984
MEM 83.859375 1543728489.0009
MEM 83.859375 1543728489.1013
MEM 83.859375 1543728489.2065
MEM 83.859375 1543728489.3067
MEM 83.859375 1543728489.4118
MEM 83.859375 1543728489.5120
MEM 83.859375 1543728489.6127
MEM 83.859375 1543728489.7176
MEM 83.859375 1543728489.8179
MEM 83.859375 1543728489.9209
MEM 83.859375 1543728490.0260
MEM 83.859375 1543728490.1294
MEM 83.859375 1543728490.2345
MEM 83.859375 1543728490.3396
MEM 83.859375 1543728490.4401
MEM 83.859375 1543728490.5420
MEM 83.859375 1543728490.6453
MEM 83.859375 1543728490.7505
MEM 83.859375 1543728490.8507
MEM 83.859375 1543728490.9559
MEM 83.859375 1543728491.0573
MEM 83.859375 1543728491.1624
MEM 83.859375 1543728491.2675
MEM 83.859375 1543728491.3726
MEM 83.859375 1543728491.4778
MEM 83.859375 1543728491.5788
MEM 83.859375 1543728491.6840
MEM 83.859375 1543728491.7863
MEM 83.859375 1543728491.8915
MEM 83.859375 1543728491.9954
MEM 83.859375 1543728492.0983
MEM 83.859375 1543728492.2017
MEM 83.859375 1543728492.3067
MEM 83.859375 1543728492.4080
MEM 83.859375 1543728492.5105
MEM 83.859375 1543728492.6118
MEM 83.859375 1543728492.7152
MEM 83.859375 1543728492.8169
MEM 83.859375 1543728492.9172
MEM 83.859375 1543728493.0213
MEM 83.859375 1543728493.1265
MEM 83.859375 1543728493.2288
MEM 83.859375 1543728493.3338
MEM 83.859375 1543728493.4363
MEM 83.859375 1543728493.5415
MEM 83.859375 1543728493.6442
MEM 83.859375 1543728493.7456
MEM 83.859375 1543728493.8504
MEM 83.859375 1543728493.9555
MEM 83.859375 1543728494.0607
MEM 83.859375 1543728494.1648
MEM 83.859375 1543728494.2670
MEM 83.859375 1543728494.3721
MEM 83.859375 1543728494.4725
MEM 83.859375 1543728494.5733
MEM 83.859375 1543728494.6783
MEM 83.859375 1543728494.7834
MEM 83.859375 1543728494.8874
MEM 83.859375 1543728494.9927
MEM 83.859375 1543728495.0959
MEM 83.859375 1543728495.2011
MEM 83.859375 1543728495.3014
MEM 83.859375 1543728495.4039
MEM 83.859375 1543728495.5045
MEM 83.859375 1543728495.6071
MEM 83.859375 1543728495.7122
MEM 83.859375 1543728495.8170
MEM 83.859375 1543728495.9222
MEM 83.859375 1543728496.0274
MEM 83.859375 1543728496.1323
MEM 83.859375 1543728496.2335
MEM 83.859375 1543728496.3387
MEM 83.859375 1543728496.4394
MEM 83.859375 1543728496.5446
MEM 83.859375 1543728496.6465
MEM 83.859375 1543728496.7474
MEM 83.859375 1543728496.8503
MEM 83.859375 1543728496.9554
MEM 83.859375 1543728497.0593
MEM 83.859375 1543728497.1626
MEM 83.859375 1543728497.2665
MEM 83.859375 1543728497.3738
MEM 83.859375 1543728497.4774
MEM 83.859375 1543728497.5787
MEM 83.859375 1543728497.6793
MEM 83.859375 1543728497.7834
MEM 83.859375 1543728497.8838
MEM 83.859375 1543728497.9889
MEM 83.859375 1543728498.0941
MEM 83.859375 1543728498.1992
MEM 83.859375 1543728498.3043
MEM 83.859375 1543728498.4095
MEM 83.859375 1543728498.5147
MEM 83.859375 1543728498.6194
MEM 83.859375 1543728498.7238
MEM 83.859375 1543728498.8289
MEM 83.859375 1543728498.9295
MEM 83.859375 1543728499.0303
MEM 83.859375 1543728499.1354
MEM 83.859375 1543728499.2365
MEM 83.859375 1543728499.3376
MEM 83.859375 1543728499.4380
MEM 83.859375 1543728499.5423
MEM 83.859375 1543728499.6462
MEM 83.859375 1543728499.7499
MEM 83.859375 1543728499.8550
MEM 83.859375 1543728499.9563
MEM 83.859375 1543728500.0614
MEM 83.859375 1543728500.1629
MEM 83.859375 1543728500.2681
MEM 83.859375 1543728500.3694
MEM 83.859375 1543728500.4712
MEM 83.859375 1543728500.5764
MEM 83.859375 1543728500.6800
MEM 83.859375 1543728500.7831
MEM 83.859375 1543728500.8878
MEM 83.859375 1543728500.9901
MEM 83.859375 1543728501.0909
MEM 83.859375 1543728501.1931
MEM 83.859375 1543728501.2980
MEM 83.859375 1543728501.3997
MEM 83.859375 1543728501.5049
MEM 83.859375 1543728501.6056
MEM 83.859375 1543728501.7091
MEM 83.859375 1543728501.8133
MEM 83.859375 1543728501.9163
MEM 83.859375 1543728502.0168
MEM 83.859375 1543728502.1215
MEM 83.859375 1543728502.2243
MEM 83.859375 1543728502.3277
MEM 83.859375 1543728502.4313
MEM 83.859375 1543728502.5362
MEM 83.859375 1543728502.6413
MEM 83.859375 1543728502.7465
MEM 83.859375 1543728502.8497
MEM 83.859375 1543728502.9502
MEM 83.859375 1543728503.0526
MEM 83.859375 1543728503.1554
MEM 83.859375 1543728503.2606
MEM 83.859375 1543728503.3646
MEM 83.859375 1543728503.4693
MEM 83.859375 1543728503.5703
MEM 83.859375 1543728503.6713
MEM 83.863281 1543728503.7724
MEM 83.863281 1543728503.8775
MEM 83.863281 1543728503.9805
MEM 83.863281 1543728504.0847
MEM 83.863281 1543728504.1890
MEM 83.863281 1543728504.2942
MEM 83.863281 1543728504.3958
MEM 83.863281 1543728504.4963
MEM 83.863281 1543728504.5996
MEM 83.863281 1543728504.7047
MEM 83.863281 1543728504.8099
MEM 83.863281 1543728504.9130
MEM 83.863281 1543728505.0161
MEM 83.863281 1543728505.1192
MEM 83.863281 1543728505.2235
MEM 83.863281 1543728505.3270
MEM 83.863281 1543728505.4313
MEM 83.863281 1543728505.5360
MEM 83.863281 1543728505.6390
MEM 83.863281 1543728505.7441
MEM 83.863281 1543728505.8446
MEM 83.863281 1543728505.9463
MEM 83.863281 1543728506.0515
MEM 83.863281 1543728506.1553
MEM 83.863281 1543728506.2589
MEM 83.863281 1543728506.3634
MEM 83.863281 1543728506.4637
MEM 83.863281 1543728506.5659
MEM 83.863281 1543728506.6692
MEM 83.863281 1543728506.7725
MEM 83.863281 1543728506.8776
MEM 83.863281 1543728506.9803
MEM 83.863281 1543728507.0855
MEM 83.863281 1543728507.1876
MEM 83.863281 1543728507.2927
MEM 83.863281 1543728507.3939
MEM 83.863281 1543728507.4972
MEM 83.863281 1543728507.5991
MEM 83.863281 1543728507.7028
MEM 83.863281 1543728507.8058
MEM 83.863281 1543728507.9110
MEM 83.863281 1543728508.0161
MEM 83.863281 1543728508.1191
MEM 83.863281 1543728508.2223
MEM 83.863281 1543728508.3274
MEM 83.863281 1543728508.4301
MEM 83.863281 1543728508.5306
MEM 83.863281 1543728508.6329
MEM 83.863281 1543728508.7370
MEM 83.863281 1543728508.8418
MEM 83.863281 1543728508.9469
MEM 83.863281 1543728509.0516
MEM 83.863281 1543728509.1566
MEM 83.863281 1543728509.2618
MEM 83.863281 1543728509.3639
MEM 83.863281 1543728509.4664
MEM 83.863281 1543728509.5691
MEM 83.863281 1543728509.6724
MEM 83.863281 1543728509.7747
MEM 83.863281 1543728509.8791
MEM 83.863281 1543728509.9807
MEM 83.863281 1543728510.0827
MEM 83.863281 1543728510.1841
MEM 83.863281 1543728510.2888
MEM 83.863281 1543728510.3928
MEM 83.863281 1543728510.4975
MEM 83.863281 1543728510.5989
MEM 83.863281 1543728510.7041
MEM 83.863281 1543728510.8092
MEM 83.863281 1543728510.9141
MEM 83.863281 1543728511.0190
MEM 83.867188 1543728511.1242
MEM 83.867188 1543728511.2274
MEM 83.867188 1543728511.3308
MEM 83.867188 1543728511.4311
MEM 83.867188 1543728511.5333
MEM 83.867188 1543728511.6375
MEM 83.867188 1543728511.7378
MEM 83.867188 1543728511.8400
MEM 83.867188 1543728511.9452
MEM 83.867188 1543728512.0488
MEM 83.867188 1543728512.1540
MEM 83.867188 1543728512.2541
MEM 83.867188 1543728512.3551
MEM 83.867188 1543728512.4602
MEM 83.867188 1543728512.5642
MEM 83.867188 1543728512.6690
MEM 83.867188 1543728512.7693
MEM 83.867188 1543728512.8741
MEM 83.867188 1543728512.9790
MEM 83.867188 1543728513.0835
MEM 83.867188 1543728513.1886
MEM 83.867188 1543728513.2932
MEM 83.867188 1543728513.3970
MEM 83.875000 1543728513.4993
MEM 83.875000 1543728513.6010
MEM 83.875000 1543728513.7015
MEM 83.875000 1543728513.8047
MEM 83.875000 1543728513.9091
MEM 83.875000 1543728514.0133
MEM 83.875000 1543728514.1136
MEM 83.875000 1543728514.2140
MEM 83.875000 1543728514.3191
MEM 83.875000 1543728514.4223
MEM 83.875000 1543728514.5246
MEM 83.875000 1543728514.6290
MEM 83.875000 1543728514.7334
MEM 83.875000 1543728514.8386
MEM 83.875000 1543728514.9413
MEM 83.875000 1543728515.0465
MEM 83.875000 1543728515.1480
MEM 83.875000 1543728515.2529
MEM 83.875000 1543728515.3576
MEM 83.875000 1543728515.4585
MEM 83.875000 1543728515.5617
MEM 83.875000 1543728515.6647
MEM 83.875000 1543728515.7651
MEM 83.875000 1543728515.8703
MEM 83.875000 1543728515.9749
MEM 83.875000 1543728516.0800
MEM 83.875000 1543728516.1840
MEM 83.875000 1543728516.2891
MEM 83.875000 1543728516.3926
MEM 83.875000 1543728516.4930
MEM 83.875000 1543728516.5978
MEM 83.875000 1543728516.7030
MEM 83.875000 1543728516.8033
MEM 83.875000 1543728516.9074
MEM 83.875000 1543728517.0117
MEM 83.875000 1543728517.1142
MEM 83.875000 1543728517.2189
MEM 83.875000 1543728517.3248
MEM 83.875000 1543728517.4272
MEM 83.875000 1543728517.5285
MEM 83.875000 1543728517.6298
MEM 83.875000 1543728517.7324
MEM 83.875000 1543728517.8329
MEM 83.875000 1543728517.9356
MEM 83.875000 1543728518.0399
MEM 83.875000 1543728518.1439
MEM 83.875000 1543728518.2483
MEM 83.875000 1543728518.3535
MEM 83.875000 1543728518.4542
MEM 83.875000 1543728518.5579
MEM 83.875000 1543728518.6583
MEM 83.875000 1543728518.7588
MEM 83.875000 1543728518.8599
MEM 83.875000 1543728518.9628
MEM 83.875000 1543728519.0634
MEM 83.875000 1543728519.1644
MEM 83.875000 1543728519.2689
MEM 83.875000 1543728519.3731
MEM 83.875000 1543728519.4752
MEM 83.875000 1543728519.5760
MEM 83.875000 1543728519.6769
MEM 83.875000 1543728519.7809
MEM 83.875000 1543728519.8812
MEM 83.875000 1543728519.9823
MEM 83.875000 1543728520.0827
MEM 83.875000 1543728520.1867
MEM 83.875000 1543728520.2896
MEM 83.875000 1543728520.3906
MEM 83.875000 1543728520.4958
MEM 83.875000 1543728520.5985
MEM 83.875000 1543728520.7010
MEM 83.875000 1543728520.8041
MEM 83.875000 1543728520.9048
MEM 83.875000 1543728521.0067
MEM 83.875000 1543728521.1072
MEM 83.875000 1543728521.2087
MEM 83.875000 1543728521.3123
MEM 83.875000 1543728521.4135
MEM 83.875000 1543728521.5153
MEM 83.875000 1543728521.6187
MEM 83.875000 1543728521.7239
MEM 83.875000 1543728521.8251
MEM 83.875000 1543728521.9300
MEM 83.875000 1543728522.0310
MEM 83.875000 1543728522.1321
MEM 83.875000 1543728522.2371
MEM 83.875000 1543728522.3422
MEM 83.875000 1543728522.4474
MEM 83.875000 1543728522.5490
MEM 83.875000 1543728522.6494
MEM 83.875000 1543728522.7543
MEM 83.875000 1543728522.8564
MEM 83.875000 1543728522.9616
MEM 83.875000 1543728523.0656
MEM 83.875000 1543728523.1708
MEM 83.875000 1543728523.2717
MEM 83.875000 1543728523.3738
MEM 83.875000 1543728523.4769
MEM 83.875000 1543728523.5821
MEM 83.875000 1543728523.6855
MEM 83.875000 1543728523.7906
MEM 83.875000 1543728523.8916
MEM 83.875000 1543728523.9946
MEM 83.875000 1543728524.0979
MEM 83.875000 1543728524.1987
MEM 83.875000 1543728524.3028
MEM 83.875000 1543728524.4052
MEM 83.875000 1543728524.5057
MEM 83.875000 1543728524.6109
MEM 83.875000 1543728524.7118
MEM 83.875000 1543728524.8145
MEM 83.875000 1543728524.9151
MEM 83.875000 1543728525.0177
MEM 83.875000 1543728525.1205
MEM 83.875000 1543728525.2233
MEM 83.875000 1543728525.3237
MEM 83.878906 1543728525.4277
MEM 83.878906 1543728525.5320
MEM 83.878906 1543728525.6330
MEM 83.878906 1543728525.7343
MEM 83.878906 1543728525.8347
MEM 83.882812 1543728525.9386
MEM 83.882812 1543728526.0409
MEM 83.882812 1543728526.1454
MEM 83.882812 1543728526.2487
MEM 83.882812 1543728526.3527
MEM 83.882812 1543728526.4563
MEM 83.882812 1543728526.5567
MEM 83.882812 1543728526.6616
MEM 83.882812 1543728526.7668
MEM 83.882812 1543728526.8697
MEM 83.882812 1543728526.9746
MEM 83.882812 1543728527.0762
MEM 83.882812 1543728527.1771
MEM 83.882812 1543728527.2775
MEM 83.882812 1543728527.3802
MEM 83.882812 1543728527.4810
MEM 83.882812 1543728527.5845
MEM 83.882812 1543728527.6855
MEM 83.882812 1543728527.7868
MEM 83.882812 1543728527.8920
MEM 83.882812 1543728527.9948
MEM 83.882812 1543728528.0987
MEM 83.882812 1543728528.2004
MEM 83.882812 1543728528.3056
MEM 83.882812 1543728528.4065
MEM 83.882812 1543728528.5091
MEM 83.882812 1543728528.6128
MEM 83.882812 1543728528.7180
MEM 83.882812 1543728528.8185
MEM 83.882812 1543728528.9219
MEM 83.882812 1543728529.0271
MEM 83.882812 1543728529.1323
MEM 83.882812 1543728529.2375
MEM 83.882812 1543728529.3427
MEM 83.882812 1543728529.4476
MEM 83.882812 1543728529.5520
MEM 83.882812 1543728529.6572
MEM 83.882812 1543728529.7611
MEM 83.882812 1543728529.8651
MEM 83.882812 1543728529.9654
MEM 83.882812 1543728530.0706
MEM 83.882812 1543728530.1753
MEM 83.882812 1543728530.2766
MEM 83.882812 1543728530.3813
MEM 83.882812 1543728530.4820
MEM 83.882812 1543728530.5828
MEM 83.882812 1543728530.6862
MEM 83.882812 1543728530.7877
MEM 83.882812 1543728530.8928
MEM 83.882812 1543728530.9938
MEM 83.882812 1543728531.0976
MEM 83.882812 1543728531.2019
MEM 83.882812 1543728531.3021
MEM 83.882812 1543728531.4073
MEM 83.882812 1543728531.5103
MEM 83.882812 1543728531.6144
