CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib2.py
MEM 0.234375 1543730748.2216
MEM 9.726562 1543730748.3252
MEM 15.316406 1543730748.4267
MEM 22.230469 1543730748.5282
MEM 30.789062 1543730748.6312
MEM 44.160156 1543730748.7356
MEM 49.046875 1543730748.8402
MEM 53.789062 1543730748.9422
MEM 57.406250 1543730749.0429
MEM 61.820312 1543730749.1470
MEM 66.148438 1543730749.2481
MEM 69.714844 1543730749.3483
MEM 77.117188 1543730749.4510
MEM 79.648438 1543730749.5515
MEM 83.753906 1543730749.6551
MEM 83.796875 1543730749.7588
MEM 83.804688 1543730749.8640
MEM 83.812500 1543730749.9678
MEM 83.816406 1543730750.0696
MEM 83.816406 1543730750.1736
MEM 83.824219 1543730750.2752
MEM 83.843750 1543730750.3762
MEM 83.851562 1543730750.4783
MEM 83.867188 1543730750.5792
MEM 83.867188 1543730750.6844
MEM 83.867188 1543730750.7865
MEM 83.871094 1543730750.8901
MEM 83.871094 1543730750.9932
MEM 83.871094 1543730751.0943
MEM 83.871094 1543730751.1981
MEM 83.871094 1543730751.3005
MEM 83.871094 1543730751.4057
MEM 83.871094 1543730751.5081
MEM 83.871094 1543730751.6084
MEM 83.871094 1543730751.7092
MEM 83.875000 1543730751.8096
MEM 83.875000 1543730751.9118
MEM 83.875000 1543730752.0145
MEM 83.875000 1543730752.1191
MEM 83.875000 1543730752.2236
MEM 83.875000 1543730752.3246
MEM 83.875000 1543730752.4251
MEM 83.875000 1543730752.5253
MEM 83.875000 1543730752.6262
MEM 83.875000 1543730752.7309
MEM 83.875000 1543730752.8354
MEM 83.875000 1543730752.9406
MEM 83.875000 1543730753.0420
MEM 83.875000 1543730753.1438
MEM 83.875000 1543730753.2469
MEM 83.875000 1543730753.3482
MEM 83.875000 1543730753.4516
MEM 83.875000 1543730753.5529
MEM 83.875000 1543730753.6546
MEM 83.875000 1543730753.7559
MEM 83.875000 1543730753.8587
MEM 83.875000 1543730753.9615
MEM 83.875000 1543730754.0617
MEM 83.875000 1543730754.1668
MEM 83.875000 1543730754.2699
MEM 83.875000 1543730754.3707
MEM 83.875000 1543730754.4723
MEM 83.875000 1543730754.5735
MEM 83.875000 1543730754.6737
MEM 83.875000 1543730754.7740
MEM 83.875000 1543730754.8746
MEM 83.878906 1543730754.9756
MEM 83.878906 1543730755.0782
MEM 83.878906 1543730755.1810
MEM 83.878906 1543730755.2813
MEM 83.878906 1543730755.3820
MEM 83.878906 1543730755.4823
MEM 83.878906 1543730755.5864
MEM 83.878906 1543730755.6867
MEM 83.878906 1543730755.7873
MEM 83.878906 1543730755.8882
MEM 83.878906 1543730755.9900
MEM 83.878906 1543730756.0908
MEM 83.878906 1543730756.1937
MEM 83.878906 1543730756.2941
MEM 83.878906 1543730756.3960
MEM 83.878906 1543730756.5012
MEM 83.878906 1543730756.6057
MEM 83.878906 1543730756.7079
MEM 83.878906 1543730756.8131
MEM 83.878906 1543730756.9141
MEM 83.878906 1543730757.0194
MEM 83.878906 1543730757.1197
MEM 83.878906 1543730757.2240
MEM 83.878906 1543730757.3244
MEM 83.878906 1543730757.4247
MEM 83.878906 1543730757.5264
MEM 83.878906 1543730757.6302
MEM 83.878906 1543730757.7354
MEM 83.878906 1543730757.8400
MEM 83.878906 1543730757.9431
MEM 83.878906 1543730758.0481
MEM 83.878906 1543730758.1533
MEM 83.878906 1543730758.2572
MEM 83.878906 1543730758.3581
MEM 83.878906 1543730758.4584
MEM 83.878906 1543730758.5598
MEM 83.878906 1543730758.6619
MEM 83.878906 1543730758.7626
MEM 83.878906 1543730758.8630
MEM 83.878906 1543730758.9653
MEM 83.878906 1543730759.0697
MEM 83.878906 1543730759.1734
MEM 83.878906 1543730759.2744
MEM 83.878906 1543730759.3766
MEM 83.878906 1543730759.4818
MEM 83.878906 1543730759.5870
MEM 83.878906 1543730759.6884
MEM 83.878906 1543730759.7911
MEM 83.878906 1543730759.8925
MEM 83.878906 1543730759.9976
MEM 83.878906 1543730760.1028
